"filename", "language", "Dart", "comment", "blank", "total"
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\data\datasource\course_datasource.dart", "Dart", 159, 6, 19, 184
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\data\model\course_detail_model.dart", "Dart", 58, 24, 13, 95
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\data\model\course_model.dart", "Dart", 24, 7, 4, 35
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\data\repository\course_repo_implem.dart", "Dart", 86, 0, 10, 96
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\domaine\entities\course_content.dart", "Dart", 66, 12, 14, 92
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\domaine\entities\course_detail_entity.dart", "Dart", 29, 4, 5, 38
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\domaine\entities\suggested_courses.dart", "Dart", 23, 1, 4, 28
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\domaine\repository\base_course_repo.dart", "Dart", 17, 0, 5, 22
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\domaine\usecases\add_chapter_usecase.dart", "Dart", 12, 0, 4, 16
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\domaine\usecases\add_course_usecase.dart", "Dart", 11, 0, 4, 15
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\domaine\usecases\get_course_detail.dart", "Dart", 11, 0, 4, 15
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\domaine\usecases\get_courses_by_teacher.dart", "Dart", 11, 0, 4, 15
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\domaine\usecases\get_suggested_courses.dart", "Dart", 11, 0, 4, 15
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\domaine\usecases\search_courses_usecase.dart", "Dart", 11, 0, 4, 15
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\domaine\usecases\search_users_usecase.dart", "Dart", 11, 0, 4, 15
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\presentation\component\add_course_success.dart", "Dart", 77, 1, 3, 81
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\presentation\controller\bloc\course_bloc.dart", "Dart", 173, 0, 13, 186
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\presentation\controller\bloc\course_event.dart", "Dart", 44, 0, 16, 60
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\presentation\controller\bloc\course_state.dart", "Dart", 123, 25, 16, 164
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\presentation\screens\base_screen.dart", "Dart", 104, 15, 9, 128
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\presentation\screens\coursedetail.dart", "Dart", 395, 10, 12, 417
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\presentation\screens\mainpage.dart", "Dart", 545, 1, 20, 566
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\presentation\screens\pdf_preview.dart", "Dart", 20, 0, 4, 24
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\presentation\screens\quizz.dart\quizz_page.dart", "Dart", 446, 45, 10, 501
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\presentation\screens\search\search_screen.dart", "Dart", 313, 17, 15, 345
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\presentation\screens\teacher\add_chapter.dart", "Dart", 761, 35, 31, 827
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\presentation\screens\teacher\new_course.dart", "Dart", 885, 26, 29, 940
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\presentation\screens\teacher\teacher_base_screen.dart", "Dart", 97, 15, 10, 122
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\presentation\screens\teacher\teacher_courses.dart", "Dart", 225, 23, 10, 258
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\presentation\screens\teacher_detail.dart", "Dart", 262, 1, 9, 272
"d:\dev\1CS Projects\BDD\frontend\lib\authentication\data\datasource\user_datasource.dart", "Dart", 183, 1, 24, 208
"d:\dev\1CS Projects\BDD\frontend\lib\authentication\data\models\user_model.dart", "Dart", 34, 0, 4, 38
"d:\dev\1CS Projects\BDD\frontend\lib\authentication\data\repository\user_repository_implem.dart", "Dart", 75, 0, 14, 89
"d:\dev\1CS Projects\BDD\frontend\lib\authentication\domaine\entities\user_entitiy.dart", "Dart", 19, 0, 4, 23
"d:\dev\1CS Projects\BDD\frontend\lib\authentication\domaine\repository\user_repository.dart", "Dart", 12, 1, 14, 27
"d:\dev\1CS Projects\BDD\frontend\lib\authentication\domaine\usecases\choose_type_usecase.dart", "Dart", 10, 0, 4, 14
"d:\dev\1CS Projects\BDD\frontend\lib\authentication\domaine\usecases\get_user_detaills_usecase.dart", "Dart", 11, 0, 4, 15
"d:\dev\1CS Projects\BDD\frontend\lib\authentication\domaine\usecases\login_usecase.dart", "Dart", 11, 0, 4, 15
"d:\dev\1CS Projects\BDD\frontend\lib\authentication\domaine\usecases\logout_usecase.dart", "Dart", 10, 0, 5, 15
"d:\dev\1CS Projects\BDD\frontend\lib\authentication\domaine\usecases\set_biography_usecase.dart", "Dart", 10, 0, 4, 14
"d:\dev\1CS Projects\BDD\frontend\lib\authentication\domaine\usecases\signup_usecase.dart", "Dart", 11, 0, 5, 16
"d:\dev\1CS Projects\BDD\frontend\lib\authentication\presentation\controller\authentication_bloc\authentication_bloc.dart", "Dart", 139, 0, 11, 150
"d:\dev\1CS Projects\BDD\frontend\lib\authentication\presentation\controller\authentication_bloc\authentication_event.dart", "Dart", 42, 0, 18, 60
"d:\dev\1CS Projects\BDD\frontend\lib\authentication\presentation\controller\authentication_bloc\authentication_state.dart", "Dart", 40, 0, 19, 59
